seed	score	exe_time
0	628065	4.7307677
1	774741	4.722078
2	663385	4.7099674
3	779143	4.7212048
4	882372	4.7111371
5	779009	4.7123805
6	660463	4.7107713
7	784413	4.7135857
8	712518	4.7161756
9	921713	4.7119644
10	588245	4.7118608
11	754954	4.7119749
12	738489	4.7143709000000005
13	884666	4.7228418
14	737371	4.7067292
15	829525	4.715744
16	709751	4.7217949
17	547328	4.7055266
18	607627	4.7102482
19	851388	4.7152288
20	701324	4.7124878
21	703218	4.7085886
22	842842	4.7122082
23	783368	4.7094088
24	785363	4.7125409000000005
25	686456	4.7044133
26	733759	4.7141905
27	691812	4.7040158000000005
28	593663	4.7109128
29	799094	4.7070259
30	729221	4.7100449
31	827300	4.7243779
32	777485	4.7164738
33	703138	4.7266123
34	866774	4.717005
35	727235	4.7106243
36	826832	4.7113053
37	758893	4.7170438
38	855323	4.7159479
39	741164	4.717407
40	706412	4.7046656
41	691140	4.7043373
42	763245	4.7142078000000005
43	705918	4.7133796
44	877171	4.7252116
45	813187	4.7073022
46	793259	4.7111388000000005
47	693728	4.7101433
48	789045	4.7131027
49	831499	4.709406
50	727035	4.7188904
51	781796	4.7094814
52	678553	4.7086159
53	658342	4.7050482
54	684185	4.71376
55	788715	4.7065506
56	829431	4.7115984
57	835085	4.7096119000000005
58	721998	4.7045035
59	679689	4.7077157
60	738673	4.709152
61	817747	4.7111603
62	543210	4.7106121000000005
63	841874	4.7189189
64	775115	4.7088448
65	818612	4.7080366
66	808996	4.7181916
67	798810	4.7125677
68	727411	4.7141657
69	741688	4.7059733
70	683179	4.7046621
71	659481	4.7090738000000005
72	581594	4.7058062
73	629740	4.7050448
74	823865	4.7075506
75	741274	4.7061746
76	743359	4.7109334
77	776497	4.713057
78	712252	4.7117956
79	579256	4.7052318
80	682273	4.7061258
81	751370	4.7087881
82	659065	4.706879
83	882730	4.7084316
84	1003388	4.7099907000000005
85	631353	4.7067296
86	793640	4.7093645
87	820623	4.7227142
88	756603	4.70755
89	841253	4.707013
90	692659	4.7089517
